Sentence #,Word,POS,Tag
,"
",-X-,O
,EU,B-NP,B-ORG
,rejects,B-VP,O
,German,B-NP,B-MISC
,call,I-NP,O
,to,B-VP,O
,boycott,I-VP,O
,British,B-NP,B-MISC
,lamb,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Peter,B-NP,B-PER
,Blackburn,I-NP,I-PER
,"
",I-NP,I-PER
,BRUSSELS,B-NP,B-LOC
,1996-08-22,I-NP,O
,"
",I-NP,O
,The,B-NP,O
,European,I-NP,B-ORG
,Commission,I-NP,I-ORG
,said,B-VP,O
,on,B-PP,O
,Thursday,B-NP,O
,it,B-NP,O
,disagreed,B-VP,O
,with,B-PP,O
,German,B-NP,B-MISC
,advice,I-NP,O
,to,B-PP,O
,consumers,B-NP,O
,to,B-VP,O
,shun,I-VP,O
,British,B-NP,B-MISC
,lamb,I-NP,O
,until,B-SBAR,O
,scientists,B-NP,O
,determine,B-VP,O
,whether,B-SBAR,O
,mad,B-NP,O
,cow,I-NP,O
,disease,I-NP,O
,can,B-VP,O
,be,I-VP,O
,transmitted,I-VP,O
,to,B-PP,O
,sheep,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Germany,B-NP,B-LOC
,'s,B-NP,O
,representative,I-NP,O
,to,B-PP,O
,the,B-NP,O
,European,I-NP,B-ORG
,Union,I-NP,I-ORG
,'s,B-NP,O
,veterinary,I-NP,O
,committee,I-NP,O
,Werner,I-NP,B-PER
,Zwingmann,I-NP,I-PER
,said,B-VP,O
,on,B-PP,O
,Wednesday,B-NP,O
,consumers,I-NP,O
,should,B-VP,O
,buy,I-VP,O
,sheepmeat,B-NP,O
,from,B-PP,O
,countries,B-NP,O
,other,B-ADJP,O
,than,B-PP,O
,Britain,B-NP,B-LOC
,until,B-SBAR,O
,the,B-NP,O
,scientific,I-NP,O
,advice,I-NP,O
,was,B-VP,O
,clearer,B-ADJP,O
,.,B-ADJP,O
,.,.,0
,"
",B-ADJP,O
,"""",O,O
,We,B-NP,O
,do,B-VP,O
,n't,I-VP,O
,support,I-VP,O
,any,B-NP,O
,such,I-NP,O
,recommendation,I-NP,O
,because,B-SBAR,O
,we,B-NP,O
,do,B-VP,O
,n't,I-VP,O
,see,I-VP,O
,any,B-NP,O
,grounds,I-NP,O
,for,B-PP,O
,it,B-NP,O
,",",O,O
,"""",O,O
,the,B-NP,O
,Commission,I-NP,B-ORG
,'s,B-NP,O
,chief,I-NP,O
,spokesman,I-NP,O
,Nikolaus,I-NP,B-PER
,van,I-NP,I-PER
